0	530	47
0	517	37
0	233	-9
0	624	26
1	16	11
1	51	29
1	237	22
1	605	36
2	622	2
2	271	-5
2	290	10
2	702	45
3	634	45
3	123	19
3	422	10
3	329	30
4	493	39
4	144	40
4	387	36
4	164	8
5	367	22
5	521	15
5	630	11
5	615	39
6	47	36
6	673	47
6	674	17
6	293	17
7	229	30
7	299	26
7	237	0
7	279	26
8	16	35
8	159	8
8	506	2
8	498	31
9	212	39
9	402	31
9	634	-8
9	717	33
10	513	35
10	40	36
10	630	24
10	305	23
11	354	50
11	275	3
11	206	20
11	597	14
12	390	14
12	483	1
12	226	7
12	282	42
13	321	40
13	39	40
13	605	2
13	497	22
14	433	20
14	94	24
14	163	49
14	480	22
15	283	33
15	318	24
15	230	-10
15	649	27
16	55	34
16	476	-6
16	693	8
16	698	14
17	561	43
17	487	3
17	400	30
17	212	36
18	600	8
18	335	-3
18	146	49
18	536	24
19	372	3
19	295	-1
19	237	-10
19	588	15
20	143	26
20	710	42
20	547	-10
20	581	20
21	318	3
21	46	33
21	598	42
21	709	13
22	486	10
22	364	10
22	14	-1
22	420	30
23	58	8
23	631	1
23	19	41
23	358	39
24	87	25
24	153	47
24	544	35
24	463	12
25	705	8
25	139	30
25	629	46
25	434	1
26	257	36
26	548	22
26	174	11
26	498	43
27	692	21
27	255	-10
27	371	10
27	258	26
28	610	14
28	180	20
28	192	31
28	658	39
29	205	42
29	133	44
29	219	36
29	421	27
30	0	33
30	34	9
30	252	7
30	65	3
31	24	25
31	490	4
31	500	31
31	686	15
32	346	-8
32	178	34
32	692	13
32	124	11
33	656	-2
33	685	-5
33	46	36
33	137	49
34	684	29
34	666	19
34	558	2
34	403	6
35	635	0
35	70	9
35	21	17
35	559	-3
36	99	1
36	112	17
36	658	42
36	296	19
37	16	20
37	470	50
37	682	40
37	440	29
38	493	-6
38	651	8
38	134	12
38	60	6
39	73	-4
39	107	34
39	507	2
39	154	29
40	179	44
40	226	29
40	400	7
40	72	11
41	534	2
41	624	-8
41	82	50
41	553	-4
42	217	37
42	402	44
42	234	4
42	468	1
43	154	23
43	692	37
43	701	34
43	525	27
44	233	23
44	173	7
44	372	-4
44	141	4
45	166	35
45	427	46
45	537	4
45	569	20
46	171	25
46	468	21
46	599	30
46	517	42
47	508	-4
47	305	12
47	369	30
47	154	-10
48	610	8
48	497	14
48	286	8
48	415	11
49	488	19
49	362	9
49	155	-10
49	60	43
50	142	-2
50	16	3
50	653	7
50	119	22
51	605	31
51	36	9
51	298	8
51	453	12
52	317	19
52	533	50
52	679	24
52	352	-4
53	425	14
53	645	-5
53	529	48
53	635	13
54	6	-9
54	678	17
54	225	47
54	574	31
55	144	30
55	484	6
55	614	41
55	535	-6
56	671	6
56	670	-9
56	645	6
56	605	14
57	345	-1
57	585	18
57	73	33
57	512	42
58	647	25
58	368	44
58	520	-6
58	608	5
59	728	33
59	598	-2
59	111	27
59	298	38
60	649	5
60	370	12
60	6	-6
60	680	44
61	406	-8
61	347	24
61	660	20
61	684	8
62	373	42
62	665	0
62	408	14
62	184	50
63	649	1
63	277	8
63	26	25
63	470	18
64	39	-2
64	221	32
64	655	-10
64	145	16
65	489	38
65	436	22
65	545	4
65	184	44
66	618	13
66	652	36
66	532	-7
66	210	37
67	412	-1
67	390	26
67	79	20
67	628	48
68	58	42
68	381	30
68	592	-10
68	220	1
69	644	12
69	266	14
69	458	1
69	202	48
70	227	5
70	24	34
70	40	37
70	170	14
71	154	34
71	245	40
71	139	2
71	78	26
72	576	1
72	482	8
72	714	8
72	256	17
73	206	28
73	585	-1
73	293	26
73	606	24
74	424	13
74	222	9
74	169	25
74	454	23
75	144	40
75	674	1
75	497	31
75	19	3
76	393	-10
76	144	0
76	324	38
76	473	8
77	662	21
77	182	10
77	118	11
77	253	13
78	147	-6
78	145	21
78	47	4
78	475	27
79	424	39
79	676	28
79	595	27
79	459	6
80	295	22
80	162	3
80	363	36
80	467	44
81	420	-9
81	330	38
81	324	22
81	669	38
82	613	12
82	464	6
82	250	14
82	7	7
83	40	19
83	150	36
83	264	5
83	269	37
84	59	5
84	575	14
84	69	4
84	195	-5
85	604	-8
85	113	9
85	338	42
85	716	33
86	439	20
86	317	50
86	135	6
86	674	48
87	42	47
87	699	3
87	586	-1
87	305	-1
88	398	44
88	336	25
88	143	-4
88	115	39
89	250	3
89	136	15
89	125	14
89	278	43
90	60	23
90	354	-10
90	43	37
90	407	22
91	556	48
91	449	-1
91	79	20
91	512	31
92	219	-5
92	42	-7
92	669	22
92	621	-5
93	694	12
93	496	16
93	724	48
93	434	8
94	610	38
94	197	43
94	429	5
94	11	0
95	88	0
95	528	34
95	382	42
95	224	7
96	439	19
96	245	37
96	2	-2
96	144	-4
97	551	18
97	714	9
97	335	48
97	643	9
98	675	11
98	316	34
98	612	-3
98	420	3
99	108	19
99	88	24
99	47	21
99	66	43
100	573	27
100	4	41
100	341	12
100	24	-7
101	503	50
101	632	44
101	40	4
101	290	18
102	413	38
102	97	25
102	231	-6
102	682	-8
103	413	46
103	314	40
103	211	41
103	373	41
104	460	37
104	375	7
104	416	14
104	633	46
105	301	-1
105	171	25
105	143	2
105	694	2
106	451	-3
106	431	-5
106	75	-7
106	525	1
107	490	34
107	43	4
107	163	29
107	33	8
108	412	23
108	461	-10
108	24	39
108	30	34
109	502	27
109	265	2
109	552	24
109	484	22
110	151	50
110	268	-7
110	203	37
110	605	31
111	10	-9
111	201	44
111	234	24
111	522	33
112	320	7
112	235	28
112	604	19
112	437	11
113	68	38
113	530	23
113	474	8
113	579	0
114	388	12
114	341	21
114	407	31
114	478	32
115	603	27
115	125	45
115	530	-2
115	510	47
116	43	39
116	361	-9
116	526	12
116	320	26
117	106	14
117	588	2
117	362	12
117	221	20
118	697	8
118	629	-2
118	114	19
118	627	50
119	262	6
119	459	30
119	628	4
119	22	47
120	31	12
120	510	38
120	290	50
120	411	47
121	252	8
121	255	23
121	142	-6
121	513	5
