0	102	11
0	34	45
0	16	22
1	239	-1
1	100	-10
1	164	-7
2	46	27
2	147	15
2	91	41
3	241	22
3	82	41
3	52	4
4	48	18
4	213	46
4	134	36
5	104	36
5	7	14
5	15	7
6	46	35
6	169	-10
6	143	8
7	116	7
7	59	-4
7	206	27
8	119	32
8	201	-1
8	151	14
9	24	17
9	238	3
9	124	33
10	100	21
10	197	46
10	182	13
11	129	-8
11	142	16
11	211	48
12	237	-2
12	202	14
12	208	37
13	172	31
13	3	-5
13	94	35
14	225	11
14	232	-9
14	11	16
15	25	-4
15	59	42
15	60	42
16	164	-6
16	227	33
16	154	31
17	164	-9
17	217	19
17	147	47
18	231	17
18	240	4
18	27	18
19	34	47
19	103	30
19	120	24
20	62	-9
20	188	34
20	34	25
21	78	4
21	4	43
21	241	28
22	140	14
22	181	17
22	6	-4
23	202	42
23	158	-3
23	190	47
24	9	-9
24	94	8
24	20	39
25	173	49
25	106	-7
25	64	0
26	129	23
26	192	-10
26	29	35
27	157	7
27	181	22
27	49	11
28	18	5
28	82	-6
28	140	28
29	205	22
29	82	14
29	161	2
30	235	-4
30	9	42
30	208	12
31	54	6
31	186	42
31	89	6
32	59	42
32	144	25
32	121	43
33	136	48
33	241	35
33	208	0
34	64	38
34	65	27
34	53	-6
35	143	36
35	149	48
35	171	36
36	202	25
36	107	8
36	88	27
37	225	15
37	193	49
37	11	12
38	83	48
38	84	32
38	136	15
39	46	29
39	27	22
39	48	30
40	96	46
40	204	-5
40	39	45
41	217	-7
41	125	36
41	60	-7
42	229	32
42	159	38
42	211	41
43	31	37
43	3	0
43	10	35
44	189	-6
44	194	22
44	3	38
45	6	32
45	46	24
45	201	6
46	199	12
46	97	-9
46	93	10
47	162	8
47	232	1
47	198	-3
48	183	45
48	145	-8
48	53	47
49	154	14
49	152	-9
49	186	9
50	174	44
50	3	14
50	173	23
51	140	-8
51	62	10
51	78	5
52	60	39
52	138	-6
52	124	21
53	17	-5
53	57	24
53	95	14
54	12	41
54	85	38
54	75	6
55	58	2
55	88	21
55	100	-1
56	164	18
56	123	31
56	219	2
57	26	-9
57	3	49
57	231	33
58	148	38
58	226	43
58	49	34
59	119	42
